time_s,device_timestamp_ns,packet_timestamp_ns,packet_id,sample_index,host_monotonic_ns,host_time_utc,timestamp_method,acc_x_mg,acc_y_mg,acc_z_mg
9.930538462,842358327899943944,842358329688405482,3,0,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,271.0,795.0,-577.0
9.949769231,842358327919174713,842358329688405482,3,1,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,270.0,792.0,-588.0
9.969,842358327938405482,842358329688405482,3,2,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,279.0,789.0,-591.0
9.988230769,842358327957636251,842358329688405482,3,3,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,285.0,792.0,-595.0
10.007461538,842358327976867020,842358329688405482,3,4,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,276.0,791.0,-590.0
10.026692308,842358327996097790,842358329688405482,3,5,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,269.0,788.0,-597.0
10.045923077,842358328015328559,842358329688405482,3,6,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,270.0,784.0,-598.0
10.065153846,842358328034559328,842358329688405482,3,7,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,261.0,791.0,-594.0
10.084384615,842358328053790097,842358329688405482,3,8,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,263.0,795.0,-595.0
10.103615385,842358328073020867,842358329688405482,3,9,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,269.0,794.0,-595.0
10.122846154,842358328092251636,842358329688405482,3,10,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,266.0,789.0,-599.0
10.142076923,842358328111482405,842358329688405482,3,11,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,267.0,788.0,-600.0
10.161307692,842358328130713174,842358329688405482,3,12,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,270.0,785.0,-600.0
10.180538462,842358328149943944,842358329688405482,3,13,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,269.0,786.0,-604.0
10.199769231,842358328169174713,842358329688405482,3,14,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,269.0,790.0,-605.0
10.219,842358328188405482,842358329688405482,3,15,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,267.0,788.0,-601.0
10.238230769,842358328207636251,842358329688405482,3,16,46255406000000,2026-09-10T12:24:44.822913+00:00,nominal_first,271.0,790.0,-601.0
