time_s,device_timestamp_ns,packet_timestamp_ns,packet_id,sample_index,host_monotonic_ns,host_time_utc,timestamp_method,acc_x_mg,acc_y_mg,acc_z_mg
0.0,842384350730879834,842384352961649065,1,0,,,nominal_first,-116.0,832.0,-623.0
0.019230769,842384350750110603,842384352961649065,1,1,,,nominal_first,-111.0,828.0,-623.0
0.038461539,842384350769341373,842384352961649065,1,2,,,nominal_first,-111.0,828.0,-623.0
0.057692308,842384350788572142,842384352961649065,1,3,,,nominal_first,-110.0,831.0,-621.0
0.076923077,842384350807802911,842384352961649065,1,4,,,nominal_first,-113.0,830.0,-616.0
0.096153846,842384350827033680,842384352961649065,1,5,,,nominal_first,-110.0,832.0,-621.0
0.115384616,842384350846264450,842384352961649065,1,6,,,nominal_first,-107.0,833.0,-621.0
0.134615385,842384350865495219,842384352961649065,1,7,,,nominal_first,-109.0,831.0,-621.0
0.153846154,842384350884725988,842384352961649065,1,8,,,nominal_first,-105.0,835.0,-623.0
0.173076923,842384350903956757,842384352961649065,1,9,,,nominal_first,-97.0,832.0,-622.0
0.192307693,842384350923187527,842384352961649065,1,10,,,nominal_first,-108.0,839.0,-624.0
0.211538462,842384350942418296,842384352961649065,1,11,,,nominal_first,-111.0,836.0,-623.0
0.230769231,842384350961649065,842384352961649065,1,12,,,nominal_first,-108.0,835.0,-622.0
0.25,842384350980879834,842384352961649065,1,13,,,nominal_first,-108.0,836.0,-619.0
0.269230769,842384351000110603,842384352961649065,1,14,,,nominal_first,-109.0,831.0,-617.0
0.288461539,842384351019341373,842384352961649065,1,15,,,nominal_first,-109.0,826.0,-621.0
0.307692308,842384351038572142,842384352961649065,1,16,,,nominal_first,-108.0,832.0,-622.0
0.326923077,842384351057802911,842384352961649065,1,17,,,nominal_first,-116.0,836.0,-624.0
0.346153846,842384351077033680,842384352961649065,1,18,,,nominal_first,-113.0,833.0,-622.0
0.365384616,842384351096264450,842384352961649065,1,19,,,nominal_first,-114.0,831.0,-617.0
0.384615385,842384351115495219,842384352961649065,1,20,,,nominal_first,-110.0,831.0,-622.0
0.403846154,842384351134725988,842384352961649065,1,21,,,nominal_first,-110.0,832.0,-623.0
0.423076923,842384351153956757,842384352961649065,1,22,,,nominal_first,-114.0,833.0,-622.0
0.442307693,842384351173187527,842384352961649065,1,23,,,nominal_first,-118.0,836.0,-620.0
0.461538462,842384351192418296,842384352961649065,1,24,,,nominal_first,-111.0,838.0,-621.0
0.480769231,842384351211649065,842384352961649065,1,25,,,nominal_first,-109.0,836.0,-619.0
0.5,842384351230879834,842384352961649065,1,26,,,nominal_first,-105.0,830.0,-621.0
0.519230769,842384351250110603,842384352961649065,1,27,,,nominal_first,-111.0,838.0,-617.0
0.538461539,842384351269341373,842384352961649065,1,28,,,nominal_first,-113.0,835.0,-629.0
0.557692308,842384351288572142,842384352961649065,1,29,,,nominal_first,-112.0,829.0,-623.0
0.576923077,842384351307802911,842384352961649065,1,30,,,nominal_first,-116.0,831.0,-624.0
0.596153846,842384351327033680,842384352961649065,1,31,,,nominal_first,-113.0,832.0,-623.0
0.615384616,842384351346264450,842384352961649065,1,32,,,nominal_first,-117.0,830.0,-619.0
0.634615385,842384351365495219,842384352961649065,1,33,,,nominal_first,-114.0,831.0,-619.0
0.653846154,842384351384725988,842384352961649065,1,34,,,nominal_first,-109.0,833.0,-620.0
0.673076923,842384351403956757,842384352961649065,1,35,,,nominal_first,-107.0,836.0,-622.0
0.692307693,842384351423187527,842384352961649065,1,36,,,nominal_first,-107.0,829.0,-627.0
0.711538462,842384351442418296,842384352961649065,1,37,,,nominal_first,-103.0,834.0,-622.0
