activity,start_time_s,end_time_s,block_id
household,1.500338602,15.500338602,0
stairs,15.500338602,26.500338602,0
household,26.500338602,28.500338602,0
stairs,28.500338602,39.500338602,0
household,39.500338602,52.500338602,0
stairs,52.500338602,60.500338602,0
household,60.500338602,66.500338602,0
stairs,66.500338602,75.500338602,0
household,75.500338602,90.500338602,0
stationary,90.500338602,92.500338602,0
household,92.500338602,95.500338602,0
stationary,95.500338602,97.500338602,0
household,97.500338602,102.500338602,0
stationary,102.500338602,109.500338602,0
